Class,TP,TN,FP,FN,Accuracy,Precision,Recall,F1 Score,Specificity
Defect Dragon Fruit,598,749,253,2,0.8408239700374532,0.7027027027027027,0.9966666666666667,0.8242591316333563,0.7475049900199601
Immature Dragon Fruit,456,998,4,144,0.9076154806491885,0.991304347826087,0.76,0.860377358490566,0.9960079840319361
Mature Dragon Fruit,252,1161,39,150,0.8820224719101124,0.865979381443299,0.6268656716417911,0.7272727272727273,0.9675
