Class,Accuracy,Precision,Recall,F1 Score,Specificity
Defect Dragon Fruit,0.6254681647940075,0.0,0.0,0.0,1.0
Immature Dragon Fruit,0.9956304619225967,0.9983193277310924,0.99,0.994142259414226,0.999001996007984
Mature Dragon Fruit,0.6210986267166042,0.39821251241310823,0.9975124378109452,0.5691980127750178,0.495
