Class,AlexNet_Accuracy,ResNet_Accuracy,Accuracy_Difference,AlexNet_Precision,ResNet_Precision,Precision_Difference,AlexNet_Recall,ResNet_Recall,Recall_Difference,AlexNet_F1 Score,ResNet_F1 Score,F1 Score_Difference,AlexNet_Specificity,ResNet_Specificity,Specificity_Difference
Defect Dragon Fruit,0.9931,0.8408239700374532,-0.15227602996254674,0.9933,0.7027027027027027,-0.2905972972972972,0.9883,0.9966666666666668,0.008366666666666855,0.9908,0.8242591316333563,-0.16654086836664372,0.996,0.7475049900199601,-0.24849500998003993
Immature Dragon Fruit,0.9994,0.9076154806491884,-0.09178451935081156,0.9983,0.991304347826087,-0.0069956521739129585,1.0,0.76,-0.24,0.9992,0.860377358490566,-0.13882264150943402,0.999,0.996007984031936,-0.002992015968063977
Mature Dragon Fruit,0.9925,0.8820224719101124,-0.11047752808988764,0.9827,0.865979381443299,-0.11672061855670102,0.9876,0.6268656716417911,-0.36073432835820896,0.9851,0.7272727272727273,-0.2578272727272727,0.9942,0.9675,-0.026699999999999946
